leto,država,bdp
2017,Norway,107144
2017,Poland,92215
2017,Romania,25246
2017,Serbia,18009
2017,Russia,264407
2017,Sweden,192863
2017,Slovenia,12130
2017,Slovakia,13003
2017,San Marino,745
2017,Turkey,108862
2017,Ukraine,33807
2018,United Kingdom,960428
2018,Germany,1859310
2018,France,1175737
2018,Spain,425089
2018,Italy,891770
2018,Portugal,82359
2018,Greece,83020
2018,Ireland,48166
2018,Andorra,1013
2018,Albania,2019
2018,Armenia,554
2018,Austria,169945
2018,Australia,301514
2018,Azerbaijan,1931
2018,Bosnia & Herzegovina,1074
2018,Belgium,198401
2018,Bulgaria,8162
2018,Belarus,12957
2018,Switzerland,246872
2018,Cyprus,6712
2018,Czech Republic,38750
2018,Denmark,131678
2018,Estonia,2037
2018,Finland,87157
2018,Georgia,707
2018,Croatia,12402
2018,Hungary,34910
2018,Israel,72160
2018,Iceland,5298
2018,Lithuania,3572
2018,Latvia,3407
2018,Monaco,2263
2018,Moldova,1188
2018,Montenegro,702
2018,Macedonia,3045
2018,Malta,2730
2018,The Netherlands,296155
2018,Norway,107144
2018,Poland,88669
2018,Romania,25246
2018,Serbia,17316
2018,Russia,254239
2018,Sweden,192863
2018,Slovenia,12130
2018,Slovakia,13003
2018,San Marino,745
2018,Turkey,108862
2018,Ukraine,32507
2019,United Kingdom,960428
2019,Germany,1859310
2019,France,1175737
2019,Spain,425089
2019,Italy,891770
2019,Portugal,82359
2019,Greece,83020
2019,Ireland,48166
2019,Andorra,1013
2019,Albania,2111
2019,Armenia,579
2019,Austria,169945
2019,Australia,315264
2019,Azerbaijan,2019
2019,Bosnia & Herzegovina,1123
2019,Belgium,198401
2019,Bulgaria,8162
2019,Belarus,13548
2019,Switzerland,246872
2019,Cyprus,6712
2019,Czech Republic,38750
2019,Denmark,131678
2019,Estonia,2037
2019,Finland,87157
2019,Georgia,739
2019,Croatia,12402
2019,Hungary,34910
2019,Israel,75451
2019,Iceland,5298
2019,Lithuania,3572
2019,Latvia,3407
2019,Monaco,2263
2019,Moldova,1242
2019,Montenegro,702
2019,Macedonia,3184
2019,Malta,2730
2019,The Netherlands,296155
2019,Norway,107144
2019,Poland,92713
2019,Romania,25246
2019,Serbia,18106
2019,Russia,265834
2019,Sweden,192863
2019,Slovenia,12130
2019,Slovakia,13003
2019,San Marino,745
2019,Turkey,108862
2019,Ukraine,33990
