"Date","Price","Open","High","Low","Change %"
"Nov 08","0.7874","0.7844","0.8074","0.7624","0.27%"
"Oct 08","0.7853","0.7079","0.8112","0.7056","10.92%"
"Sep 08","0.7080","0.6801","0.7205","0.6725","3.89%"
"Aug 08","0.6815","0.6410","0.6864","0.6396","6.32%"
"Jul 08","0.6410","0.6346","0.6443","0.6234","0.99%"
"Jun 08","0.6347","0.6426","0.6534","0.6310","-1.29%"
"May 08","0.6430","0.6404","0.6542","0.6321","0.45%"
"Apr 08","0.6401","0.6344","0.6448","0.6241","0.95%"
"Mar 08","0.6341","0.6580","0.6603","0.6287","-3.73%"
"Feb 08","0.6587","0.6729","0.6925","0.6561","-2.10%"
"Jan 08","0.6728","0.6855","0.6962","0.6701","-1.84%"
"Dec 07","0.6854","0.6831","0.6989","0.6769","0.29%"
"Nov 07","0.6834","0.6905","0.6944","0.6680","-1.03%"
"Oct 07","0.6905","0.7003","0.7136","0.6893","-1.44%"
"Sep 07","0.7006","0.7336","0.7379","0.7002","-4.51%"
"Aug 07","0.7337","0.7311","0.7485","0.7224","0.33%"
"Jul 07","0.7313","0.7383","0.7391","0.7218","-0.97%"
"Jun 07","0.7385","0.7433","0.7540","0.7377","-0.65%"
"May 07","0.7433","0.7330","0.7459","0.7313","1.42%"
"Apr 07","0.7329","0.7476","0.7509","0.7308","-2.10%"
"Mar 07","0.7486","0.7557","0.7651","0.7455","-0.94%"
"Feb 07","0.7557","0.7673","0.7745","0.7540","-1.50%"
"Jan 07","0.7672","0.7576","0.7773","0.7519","1.28%"
"Dec 06","0.7575","0.7551","0.7662","0.7479","0.30%"
"Nov 06","0.7552","0.7835","0.7884","0.7532","-3.60%"
"Oct 06","0.7834","0.7885","0.8012","0.7822","-0.73%"
"Sep 06","0.7892","0.7809","0.7916","0.7765","1.06%"
"Aug 06","0.7809","0.7833","0.7876","0.7727","-0.32%"
"Jul 06","0.7834","0.7819","0.8028","0.7773","0.20%"
"Jun 06","0.7818","0.7803","0.8014","0.7703","0.18%"
"May 06","0.7804","0.7920","0.7964","0.7708","-1.40%"
"Apr 06","0.7915","0.8251","0.8313","0.7910","-4.08%"
"Mar 06","0.8252","0.8386","0.8432","0.8190","-1.63%"
"Feb 06","0.8389","0.8227","0.8457","0.8215","1.97%"
"Jan 06","0.8227","0.8441","0.8474","0.8112","-2.55%"
"Dec 05","0.8442","0.8482","0.8578","0.8289","-0.47%"
"Nov 05","0.8482","0.8338","0.8591","0.8273","1.69%"
"Oct 05","0.8341","0.8317","0.8421","0.8191","0.36%"
"Sep 05","0.8311","0.8104","0.8349","0.7940","2.59%"
"Aug 05","0.8101","0.8247","0.8268","0.8005","-1.73%"
"Jul 05","0.8244","0.8264","0.8426","0.8158","-0.22%"
"Jun 05","0.8262","0.8125","0.8346","0.8093","1.70%"
"May 05","0.8124","0.7774","0.8133","0.7695","4.58%"
"Apr 05","0.7768","0.7714","0.7834","0.7618","0.71%"
"Mar 05","0.7713","0.7560","0.7779","0.7416","2.08%"
"Feb 05","0.7556","0.7672","0.7856","0.7529","-1.52%"
"Jan 05","0.7673","0.7378","0.7739","0.7362","4.03%"
"Dec 04","0.7376","0.7526","0.7611","0.7314","-1.95%"
"Nov 04","0.7523","0.7808","0.7901","0.7497","-3.82%"
"Oct 04","0.7822","0.8041","0.8181","0.7782","-2.76%"
"Sep 04","0.8044","0.8208","0.8318","0.8033","-1.97%"
"Aug 04","0.8206","0.8284","0.8355","0.8070","-1.43%"
"Jul 04","0.8325","0.8204","0.8340","0.8022","1.45%"
"Jun 04","0.8206","0.8203","0.8365","0.8093","0.00%"
"May 04","0.8206","0.8335","0.8495","0.8130","-1.65%"
"Apr 04","0.8344","0.8118","0.8502","0.8070","2.72%"
"Mar 04","0.8123","0.8003","0.8301","0.7971","1.47%"
"Feb 04","0.8005","0.8016","0.8083","0.7733","-0.16%"
"Jan 04","0.8018","0.7939","0.8108","0.7750","0.92%"
"Dec 03","0.7945","0.8347","0.8378","0.7905","-4.70%"
"Nov 03","0.8337","0.8633","0.8792","0.8319","-3.42%"
"Oct 03","0.8632","0.8574","0.8659","0.8428","0.64%"
"Sep 03","0.8577","0.9100","0.9289","0.8517","-5.82%"
"Aug 03","0.9107","0.8902","0.9268","0.8747","2.28%"
"Jul 03","0.8904","0.8676","0.8999","0.8608","2.50%"
"Jun 03","0.8687","0.8535","0.8774","0.8379","2.40%"
"May 03","0.8483","0.8941","0.8966","0.8377","-5.10%"
"Apr 03","0.8939","0.9153","0.9472","0.8933","-2.33%"
"Mar 03","0.9152","0.9278","0.9524","0.9015","-1.19%"
"Feb 03","0.9262","0.9269","0.9377","0.9140","-0.24%"
"Jan 03","0.9284","0.9528","0.9676","0.9164","-2.52%"
"Dec 02","0.9524","1.0053","1.0148","0.9516","-5.26%"
"Nov 02","1.0053","1.0092","1.0130","0.9825","-0.43%"
"Oct 02","1.0096","1.0131","1.0326","1.0069","-0.38%"
"Sep 02","1.0135","1.0180","1.0412","1.0001","-0.47%"
